CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;13;15.7;24.6
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;14;17.1;24.4
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;15;16.9;22.9
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;16;17.3;24.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;17;17.1;23.4
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;18;16.5;22.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;19;14.9;25.4
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;20;18.2;25.0
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;21;16.1;24.4
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;22;15.6;25.1
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;23;17.0;25.6
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;24;17.9;25.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;25;17.4;25.6
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;26;16.5;26.8
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;27;16.2;27.3
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;28;17.9;25.3
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;29;17.9;25.0
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;30;18.2;24.4
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 50'' S;204;2016;01;31;19.2;26.3
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;01;13.9;20.4
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;02;12.5;21.5
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;03;16.2;21.1
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;04;14.6;23.0
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;05;16.0;22.3
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;06;16.2;23.8
